time,density_n_site_1,positive_p_n_site_1,density_n_site_2,positive_p_n_site_2
2.020000000000000129e-01,7.842051864113466220e-01,7.796191257507109063e-01,3.288974073927598135e-02,2.740437265975630837e-02
2.040000000000000147e-01,7.819942306429388257e-01,7.775302312473076904e-01,3.346813975907011324e-02,2.796315453088792091e-02
2.060000000000000164e-01,7.797830029808208163e-01,7.752402043707240509e-01,3.405007252173110344e-02,2.855874233726720182e-02
2.080000000000000182e-01,7.775715356241859055e-01,7.730931276405569319e-01,3.463550031066608276e-02,2.923388719217930726e-02
2.099999999999999922e-01,7.753598607937463028e-01,7.707463004194140543e-01,3.522438440267795789e-02,3.011935213867630509e-02
2.119999999999999940e-01,7.731480105495922572e-01,7.685444468128271867e-01,3.581668624719505645e-02,3.077745276830079826e-02
2.139999999999999958e-01,7.709360168132970426e-01,7.664074677384637990e-01,3.641236744449614926e-02,3.112593261334293052e-02
2.159999999999999976e-01,7.687239114073164403e-01,7.641283515570403972e-01,3.701138970691450480e-02,3.164467316212832976e-02
2.179999999999999993e-01,7.665117260546236988e-01,7.619107080805166410e-01,3.761371485917618801e-02,3.223268404468775800e-02
2.200000000000000011e-01,7.642994923783438255e-01,7.596648879985185010e-01,3.821930483873826889e-02,3.286164405372535291e-02
2.220000000000000029e-01,7.620872419013883237e-01,7.574956325718755767e-01,3.882812169612715608e-02,3.343595653841169302e-02
2.240000000000000047e-01,7.598750060460905953e-01,7.552789253832349337e-01,3.944012759527689566e-02,3.375367996991487929e-02
2.260000000000000064e-01,7.576628161338394563e-01,7.528508971541079120e-01,4.005528481386728956e-02,3.433567683149215538e-02
2.280000000000000082e-01,7.554507033847152053e-01,7.507553592387782304e-01,4.067355574366240262e-02,3.498032360566360327e-02
2.300000000000000100e-01,7.532386989171231395e-01,7.487388437847334322e-01,4.129490289084860460e-02,3.572735922882628451e-02
2.320000000000000118e-01,7.510268337474289568e-01,7.465203323632753074e-01,4.191928887637299400e-02,3.628574109486448068e-02
2.340000000000000135e-01,7.488151387895933819e-01,7.443750285454716620e-01,4.254667643628161355e-02,3.683043775499399847e-02
2.360000000000000153e-01,7.466036448548064586e-01,7.422828529500282713e-01,4.317702842205772829e-02,3.753164094833222331e-02
2.380000000000000171e-01,7.443923826511232855e-01,7.399078155654021938e-01,4.381030780096013127e-02,3.801636628426508652e-02
2.399999999999999911e-01,7.421813827830968657e-01,7.378143866840113363e-01,4.444647765636130371e-02,3.865045075958040838e-02
2.419999999999999929e-01,7.399706757514151745e-01,7.354938511285368241e-01,4.508550118808586638e-02,3.942283272932065735e-02
2.439999999999999947e-01,7.377602919525338976e-01,7.335161249237364123e-01,4.572734171274871195e-02,4.001553022546019966e-02
2.459999999999999964e-01,7.355502616783123893e-01,7.312381164715539006e-01,4.637196266409331080e-02,4.076551241030004075e-02
2.479999999999999982e-01,7.333406151156470765e-01,7.288798437124260898e-01,4.701932759332997508e-02,4.151975702210033980e-02
2.500000000000000000e-01,7.311313823461080830e-01,7.269589855431011216e-01,4.766940016947419229e-02,4.228705804561546516e-02
2.520000000000000018e-01,7.289225933455723005e-01,7.250277940505027718e-01,4.832214417968484083e-02,4.297091522642813854e-02
2.540000000000000036e-01,7.267142779838584588e-01,7.229606533211000441e-01,4.897752352960245414e-02,4.348036103725674145e-02
2.560000000000000053e-01,7.245064660243623056e-01,7.208726668125111647e-01,4.963550224368753344e-02,4.423203720187005722e-02
2.580000000000000071e-01,7.222991871404109698e-01,7.186471614386812368e-01,5.029604444910439759e-02,4.517330024615051620e-02
2.600000000000000089e-01,7.200924710633531678e-01,7.165724628683114439e-01,5.095911422996265289e-02,4.583603004195380137e-02
2.620000000000000107e-01,7.178863473140285612e-01,7.143794039334887547e-01,5.162467589156043840e-02,4.658366020604601254e-02
2.640000000000000124e-01,7.156808452653768970e-01,7.120784914851506775e-01,5.229269389874836860e-02,4.722930521333671555e-02
2.660000000000000142e-01,7.134759941845999487e-01,7.097647395397276293e-01,5.296313283441685810e-02,4.793786184947107509e-02
2.680000000000000160e-01,7.112718232328628654e-01,7.075709288672245023e-01,5.363595739976843857e-02,4.865323474208104598e-02
2.700000000000000178e-01,7.090683614649958555e-01,7.055047565260574860e-01,5.431113241459007562e-02,4.954298786246214698e-02
2.720000000000000195e-01,7.068656378291957587e-01,7.033423287282337677e-01,5.498862281752554121e-02,5.022462562047241841e-02
2.740000000000000213e-01,7.046636811667287281e-01,7.010967788148522173e-01,5.566839366634777908e-02,5.107161646634102159e-02
2.760000000000000231e-01,7.024625202116301370e-01,6.989050127160654213e-01,5.635041013823115230e-02,5.184563002537521947e-02
2.780000000000000249e-01,7.002621835904079273e-01,6.965935935597346029e-01,5.703463753002387809e-02,5.253826200527258322e-02
2.800000000000000266e-01,6.980626998217436263e-01,6.942581875766183908e-01,5.772104125852034473e-02,5.329698468699777675e-02
2.820000000000000284e-01,6.958640973161939192e-01,6.922361688785041434e-01,5.840958686073344230e-02,5.409848687894579927e-02
2.840000000000000302e-01,6.936664043758928866e-01,6.900213484049463331e-01,5.910023999416688656e-02,5.481999762698992057e-02
2.860000000000000320e-01,6.914696491942530221e-01,6.879569342946333377e-01,5.979296643708761211e-02,5.555584928711339299e-02
2.880000000000000338e-01,6.892738598556675811e-01,6.853908154642018857e-01,6.048773208879805463e-02,5.622921243903279687e-02
2.899999999999999800e-01,6.870790643352119309e-01,6.831400198884585162e-01,6.118450296990853021e-02,5.689031113855622795e-02
2.919999999999999818e-01,6.848852904983451229e-01,6.808458277997565533e-01,6.188324522260960081e-02,5.753510669547188400e-02
2.939999999999999836e-01,6.826925661006120194e-01,6.787348957830720009e-01,6.258392511094433563e-02,5.831238350386957342e-02
2.959999999999999853e-01,6.805009187873447551e-01,6.766882848987197940e-01,6.328650902108072518e-02,5.903708188569725679e-02
2.979999999999999871e-01,6.783103760933643089e-01,6.746935924625415693e-01,6.399096346158399118e-02,5.991835707991516324e-02
2.999999999999999889e-01,6.761209654426826310e-01,6.724597961211781216e-01,6.469725506368893819e-02,6.063888772452929316e-02
3.019999999999999907e-01,6.739327141482037709e-01,6.702448799436239169e-01,6.540535058157229131e-02,6.146358228884598457e-02
3.039999999999999925e-01,6.717456494114262266e-01,6.679757303366685717e-01,6.611521689262502000e-02,6.229565586359930851e-02
3.059999999999999942e-01,6.695597983221440730e-01,6.657873951921737810e-01,6.682682099772473128e-02,6.295659290626433313e-02
3.079999999999999960e-01,6.673751878897055123e-01,6.632860733050375268e-01,6.754012999046539456e-02,6.364246196890434304e-02
3.099999999999999978e-01,6.651918452180545227e-01,6.610999037389087007e-01,6.825511088494713718e-02,6.430842058892313751e-02
3.119999999999999996e-01,6.630097971468814633e-01,6.592896359249496019e-01,6.897173096875672260e-02,6.498948659443856690e-02
3.140000000000000013e-01,6.608290703646647613e-01,6.571214635621447364e-01,6.968995769174785027e-02,6.562353085698005573e-02
3.160000000000000031e-01,6.586496914496834387e-01,6.548999055611074427e-01,7.040975862567461219e-02,6.629874506841731963e-02
3.180000000000000049e-01,6.564716868697949570e-01,6.527132026805725351e-01,7.113110146438973713e-02,6.683262705865190834e-02
3.200000000000000067e-01,6.542950829822113956e-01,6.508108251034159242e-01,7.185395402404307075e-02,6.774037142560317137e-02
3.220000000000000084e-01,6.521199060332770747e-01,6.484139043559401516e-01,7.257828424327986139e-02,6.856823757543387132e-02
3.240000000000000102e-01,6.499461821582448451e-01,6.461859350619729714e-01,7.330406018343908758e-02,6.939465411336029343e-02
3.260000000000000120e-01,6.477739373810535994e-01,6.440378308865796209e-01,7.403125002875179939e-02,7.005175556050996510e-02
3.280000000000000138e-01,6.456031976141045625e-01,6.416888905804116749e-01,7.475982208653954297e-02,7.048513341210167760e-02
3.300000000000000155e-01,6.434339886580388024e-01,6.395386455055777075e-01,7.548974478741259098e-02,7.130396455932816457e-02
