time,density_n_site_1,positive_p_n_site_1,density_n_site_2,positive_p_n_site_2
1.600000000000000033e-01,8.305143981141127618e-01,8.243325563505945475e-01,2.162938991260872704e-02,1.530571424241462114e-02
1.620000000000000051e-01,8.283167610478125997e-01,8.214458674389917281e-01,2.212444255573505283e-02,1.524660308285485412e-02
1.640000000000000069e-01,8.261181537088109206e-01,8.195795392767214471e-01,2.262386723796497301e-02,1.646256563519029811e-02
1.660000000000000087e-01,8.239186102905595721e-01,8.174586481380430314e-01,2.312762296914640942e-02,1.748419787547223977e-02
1.680000000000000104e-01,8.217181648955375062e-01,8.151123704920179014e-01,2.363566886367565387e-02,1.780434073382888491e-02
1.700000000000000122e-01,8.195168515348154603e-01,8.119434546768280470e-01,2.414796414090473325e-02,1.871991779546391954e-02
1.720000000000000140e-01,8.173147041276204172e-01,8.098409577085432520e-01,2.466446812554878507e-02,1.944051102599873848e-02
1.740000000000000158e-01,8.151117565009001753e-01,8.078405251124833875e-01,2.518514024809342250e-02,1.937263774332258215e-02
1.759999999999999898e-01,8.129080423888874751e-01,8.059892766622012150e-01,2.570994004520208223e-02,1.973920883829904591e-02
1.779999999999999916e-01,8.107035954326650140e-01,8.026564620839374831e-01,2.623882716012345198e-02,2.058996834320744526e-02
1.799999999999999933e-01,8.084984491797297945e-01,8.001450282161494121e-01,2.677176134309875236e-02,2.158843652653404457e-02
1.819999999999999951e-01,8.062926370835572509e-01,7.979439939709196405e-01,2.730870245176917135e-02,2.189458568369950786e-02
1.839999999999999969e-01,8.040861925031663748e-01,7.969512134631364653e-01,2.784961045158321213e-02,2.256030651026882938e-02
1.859999999999999987e-01,8.018791487026837306e-01,7.952935914677052853e-01,2.839444541620403384e-02,2.358696994499597660e-02
1.880000000000000004e-01,7.996715388509080258e-01,7.936693773600070889e-01,2.894316752791686875e-02,2.386927517712115684e-02
1.900000000000000022e-01,7.974633960208751260e-01,7.915036330463196546e-01,2.949573707803637354e-02,2.436355803515754398e-02
1.920000000000000040e-01,7.952547531894215149e-01,7.887426694617860612e-01,3.005211446731394925e-02,2.420691187685938134e-02
1.940000000000000058e-01,7.930456432367498643e-01,7.868278602547645884e-01,3.061226020634517930e-02,2.527757699832385019e-02
1.960000000000000075e-01,7.908360989459929380e-01,7.843147191770745152e-01,3.117613491597714601e-02,2.587289694767665182e-02
1.980000000000000093e-01,7.886261530027783850e-01,7.821173718043402667e-01,3.174369932771585467e-02,2.632972356382805995e-02
2.000000000000000111e-01,7.864158379947927546e-01,7.791040249821029606e-01,3.231491428413350853e-02,2.658944951632894252e-02
2.020000000000000129e-01,7.842051864113466220e-01,7.776264165995198097e-01,3.288974073927598135e-02,2.793948456694530028e-02
2.040000000000000147e-01,7.819942306429388257e-01,7.756534094682573377e-01,3.346813975907011324e-02,2.811923245778715982e-02
2.060000000000000164e-01,7.797830029808208163e-01,7.728709367663578744e-01,3.405007252173110344e-02,2.862974692000241905e-02
2.080000000000000182e-01,7.775715356241859055e-01,7.709663082948344792e-01,3.463550031066608276e-02,2.926748825768519385e-02
2.099999999999999922e-01,7.753598607937463028e-01,7.686132048946494599e-01,3.522438440267795789e-02,3.091380603236808244e-02
2.119999999999999940e-01,7.731480105495922572e-01,7.666770439614994936e-01,3.581668624719505645e-02,3.158621029014247600e-02
2.139999999999999958e-01,7.709360168132970426e-01,7.646690131528930401e-01,3.641236744449614926e-02,3.162333872119540978e-02
2.159999999999999976e-01,7.687239114073164403e-01,7.623337409016199828e-01,3.701138970691450480e-02,3.190126383203038818e-02
2.179999999999999993e-01,7.665117260546236988e-01,7.600187631777044484e-01,3.761371485917618801e-02,3.249798316453340191e-02
2.200000000000000011e-01,7.642994923783438255e-01,7.576356223185317651e-01,3.821930483873826889e-02,3.324568186296389394e-02
2.220000000000000029e-01,7.620872419013883237e-01,7.556185395375190073e-01,3.882812169612715608e-02,3.359071398719668672e-02
2.240000000000000047e-01,7.598750060460905953e-01,7.530936316727847579e-01,3.944012759527689566e-02,3.311581222335975572e-02
2.260000000000000064e-01,7.576628161338394563e-01,7.502725812057953192e-01,4.005528481386728956e-02,3.313504181436137397e-02
2.280000000000000082e-01,7.554507033847152053e-01,7.482347489326574008e-01,4.067355574366240262e-02,3.377606891779414561e-02
2.300000000000000100e-01,7.532386989171231395e-01,7.468189858883580445e-01,4.129490289084860460e-02,3.499358768927145896e-02
2.320000000000000118e-01,7.510268337474289568e-01,7.450695327510640231e-01,4.191928887637299400e-02,3.522739299502793825e-02
2.340000000000000135e-01,7.488151387895933819e-01,7.430322080612690172e-01,4.254667643628161355e-02,3.520688968482250936e-02
2.360000000000000153e-01,7.466036448548064586e-01,7.407423250619543653e-01,4.317702842205772829e-02,3.604392475267025053e-02
2.380000000000000171e-01,7.443923826511232855e-01,7.375279074025515857e-01,4.381030780096013127e-02,3.624088139258332952e-02
2.399999999999999911e-01,7.421813827830968657e-01,7.362978230973790117e-01,4.444647765636130371e-02,3.666913597323953611e-02
2.419999999999999929e-01,7.399706757514151745e-01,7.334306230634394241e-01,4.508550118808586638e-02,3.774036424855801292e-02
2.439999999999999947e-01,7.377602919525338976e-01,7.322429772952639970e-01,4.572734171274871195e-02,3.808793804146971135e-02
2.459999999999999964e-01,7.355502616783123893e-01,7.294972338766174680e-01,4.637196266409331080e-02,3.948633712942627161e-02
2.479999999999999982e-01,7.333406151156470765e-01,7.265313937145291279e-01,4.701932759332997508e-02,4.039070901751607573e-02
2.500000000000000000e-01,7.311313823461080830e-01,7.253390028637537457e-01,4.766940016947419229e-02,4.129421233577944272e-02
2.520000000000000018e-01,7.289225933455723005e-01,7.245793786768309763e-01,4.832214417968484083e-02,4.207549916856292288e-02
2.540000000000000036e-01,7.267142779838584588e-01,7.230577606880456143e-01,4.897752352960245414e-02,4.208529076863880281e-02
2.560000000000000053e-01,7.245064660243623056e-01,7.216622434786394980e-01,4.963550224368753344e-02,4.318903507196186764e-02
2.580000000000000071e-01,7.222991871404109698e-01,7.190278690283036234e-01,5.029604444910439759e-02,4.479537519946533847e-02
2.600000000000000089e-01,7.200924710633531678e-01,7.177408126911557495e-01,5.095911422996265289e-02,4.527387319887674066e-02
2.620000000000000107e-01,7.178863473140285612e-01,7.158920238953827564e-01,5.162467589156043840e-02,4.629904392143367742e-02
2.640000000000000124e-01,7.156808452653768970e-01,7.129848180955571380e-01,5.229269389874836860e-02,4.674712603670362621e-02
2.660000000000000142e-01,7.134759941845999487e-01,7.105282870070814827e-01,5.296313283441685810e-02,4.740175304708483389e-02
2.680000000000000160e-01,7.112718232328628654e-01,7.087686817827935082e-01,5.363595739976843857e-02,4.819542555221797975e-02
2.700000000000000178e-01,7.090683614649958555e-01,7.063945734018697298e-01,5.431113241459007562e-02,4.936351282285020292e-02
2.720000000000000195e-01,7.068656378291957587e-01,7.042739476315925673e-01,5.498862281752554121e-02,5.075679756934899783e-02
2.740000000000000213e-01,7.046636811667287281e-01,7.020068894928898073e-01,5.566839366634777908e-02,5.192565063628358513e-02
2.760000000000000231e-01,7.024625202116301370e-01,6.998378570840020352e-01,5.635041013823115230e-02,5.248149550438109545e-02
2.780000000000000249e-01,7.002621835904079273e-01,6.973847909558623659e-01,5.703463753002387809e-02,5.273209921182853838e-02
2.800000000000000266e-01,6.980626998217436263e-01,6.952404414957744638e-01,5.772104125852034473e-02,5.375695600735443114e-02
2.820000000000000284e-01,6.958640973161939192e-01,6.929295511649798955e-01,5.840958686073344230e-02,5.495124224567751736e-02
2.840000000000000302e-01,6.936664043758928866e-01,6.910533965729056538e-01,5.910023999416688656e-02,5.634629516333543309e-02
2.860000000000000320e-01,6.914696491942530221e-01,6.888292833751777922e-01,5.979296643708761211e-02,5.700979552470316486e-02
2.880000000000000338e-01,6.892738598556675811e-01,6.848959931439383420e-01,6.048773208879805463e-02,5.763621388365011006e-02
