time,density_n_site_1,positive_p_n_site_1
2.580000000000000071e-01,7.725951698002647694e-01,7.827354881898154204e-01
2.600000000000000089e-01,7.710515230764555250e-01,7.810922327685426714e-01
2.620000000000000107e-01,7.695109608211821994e-01,7.798617217376260236e-01
2.640000000000000124e-01,7.679734768613134532e-01,7.776102958898930551e-01
2.660000000000000142e-01,7.664390647675646262e-01,7.758062775651400900e-01
2.680000000000000160e-01,7.649077183393773183e-01,7.746528851757815692e-01
2.700000000000000178e-01,7.633794314492333699e-01,7.738624924854742293e-01
2.720000000000000195e-01,7.618541979823518773e-01,7.725037178834964768e-01
2.740000000000000213e-01,7.603320118366885261e-01,7.705448651941729787e-01
2.760000000000000231e-01,7.588128669229352585e-01,7.687873234898346952e-01
2.780000000000000249e-01,7.572967571645221607e-01,7.667921506758381689e-01
2.800000000000000266e-01,7.557836764976149091e-01,7.652509610969412401e-01
2.820000000000000284e-01,7.542736188711167689e-01,7.636414680568376356e-01
2.840000000000000302e-01,7.527665782466677058e-01,7.615194681885799621e-01
2.860000000000000320e-01,7.512625485986442753e-01,7.609162825414605980e-01
2.880000000000000338e-01,7.497615239141606214e-01,7.594370399594642107e-01
2.899999999999999800e-01,7.482634981930669227e-01,7.578669548203244011e-01
2.919999999999999818e-01,7.467684654479503914e-01,7.564755717313913497e-01
2.939999999999999836e-01,7.452764197041353844e-01,7.554150809374903242e-01
2.959999999999999853e-01,7.437873549996830702e-01,7.547734937324509508e-01
2.979999999999999871e-01,7.423012653853912068e-01,7.526831696314848497e-01
2.999999999999999889e-01,7.408181449247945860e-01,7.510758937079562436e-01
3.019999999999999907e-01,7.393379876941648110e-01,7.512453787148208884e-01
3.039999999999999925e-01,7.378607877825105188e-01,7.496443657704328078e-01
3.059999999999999942e-01,7.363865392915770469e-01,7.475340171075705031e-01
3.079999999999999960e-01,7.349152363358463225e-01,7.453477039155999018e-01
3.099999999999999978e-01,7.334468730425377503e-01,7.445388191495574404e-01
3.119999999999999996e-01,7.319814435516069917e-01,7.422595466075000425e-01
3.140000000000000013e-01,7.305189420157468527e-01,7.406032260940959011e-01
3.160000000000000031e-01,7.290593626003870620e-01,7.392169171832828622e-01
3.180000000000000049e-01,7.276026994836939377e-01,7.391213637485489762e-01
3.200000000000000067e-01,7.261489468565709426e-01,7.378590475159437778e-01
3.220000000000000084e-01,7.246980989226581293e-01,7.369459855305134921e-01
3.240000000000000102e-01,7.232501498983326949e-01,7.354884920786383118e-01
3.260000000000000120e-01,7.218050940127083148e-01,7.343979704856101742e-01
3.280000000000000138e-01,7.203629255076360316e-01,7.321115380747174051e-01
3.300000000000000155e-01,7.189236386377032550e-01,7.308764796249815898e-01
3.320000000000000173e-01,7.174872276702344287e-01,7.291950778485948303e-01
3.340000000000000191e-01,7.160536868852910297e-01,7.284794488604464657e-01
3.360000000000000209e-01,7.146230105751646411e-01,7.279379579564452252e-01
3.380000000000000226e-01,7.131951928815400965e-01,7.263652930187480816e-01
3.400000000000000244e-01,7.117702279715223401e-01,7.244652911647241345e-01
3.420000000000000262e-01,7.103481101454237612e-01,7.237711027708588762e-01
3.440000000000000280e-01,7.089288337149566299e-01,7.228912891378512784e-01
3.460000000000000298e-01,7.075123930032086728e-01,7.220517753595887545e-01
3.480000000000000315e-01,7.060987823446197575e-01,7.204221416298705050e-01
3.500000000000000333e-01,7.046879960849588009e-01,7.186675150099889331e-01
3.519999999999999796e-01,7.032800285812991214e-01,7.171160546615994447e-01
3.539999999999999813e-01,7.018748742019957909e-01,7.150707060525391956e-01
3.559999999999999831e-01,7.004725273266613206e-01,7.136250935953162289e-01
3.579999999999999849e-01,6.990729823461426795e-01,7.125082175219730196e-01
3.599999999999999867e-01,6.976762336624970917e-01,7.103937423928440298e-01
3.619999999999999885e-01,6.962822756889686104e-01,7.099756912168250222e-01
3.639999999999999902e-01,6.948911028499649145e-01,7.084729344048451560e-01
3.659999999999999920e-01,6.935027095810329945e-01,7.059675185910531114e-01
3.679999999999999938e-01,6.921170903288361709e-01,7.045342736781562420e-01
3.699999999999999956e-01,6.907342395511297806e-01,7.019330201026336979e-01
3.719999999999999973e-01,6.893541517167383059e-01,6.996277807382987879e-01
3.739999999999999991e-01,6.879768213055315051e-01,6.989675372162998945e-01
3.760000000000000009e-01,6.866022428084003204e-01,6.987948902355344272e-01
3.780000000000000027e-01,6.852304107272341183e-01,6.974322291763906945e-01
3.800000000000000044e-01,6.838613195748962648e-01,6.968078746666537260e-01
3.820000000000000062e-01,6.824949638752009218e-01,6.957447998056540683e-01
3.840000000000000080e-01,6.811313381628896213e-01,6.939660902256485908e-01
3.860000000000000098e-01,6.797704369836070626e-01,6.927186016863470241e-01
3.880000000000000115e-01,6.784122548938781305e-01,6.907989241350576126e-01
3.900000000000000133e-01,6.770567864610836928e-01,6.898188751161391519e-01
3.920000000000000151e-01,6.757040262634375072e-01,6.891439679814079788e-01
3.940000000000000169e-01,6.743539688899621298e-01,6.872608006736409259e-01
3.960000000000000187e-01,6.730066089404659335e-01,6.862660815054685282e-01
3.980000000000000204e-01,6.716619410255186828e-01,6.841799933762863217e-01
4.000000000000000222e-01,6.703199597664286635e-01,6.815092784036119733e-01
4.020000000000000240e-01,6.689806597952184797e-01,6.798574272892393688e-01
4.040000000000000258e-01,6.676440357546017390e-01,6.793286375100163754e-01
4.060000000000000275e-01,6.663100822979596272e-01,6.771770671308410261e-01
4.080000000000000293e-01,6.649787940893168159e-01,6.758825481045160899e-01
4.100000000000000311e-01,6.636501658033182593e-01,6.749201839507122935e-01
4.120000000000000329e-01,6.623241921252053244e-01,6.732913394215083169e-01
4.140000000000000346e-01,6.610008677507921426e-01,6.723644246784934442e-01
4.160000000000000364e-01,6.596801873864424071e-01,6.710625358220301262e-01
4.179999999999999827e-01,6.583621457490451689e-01,6.698999929412097210e-01
4.199999999999999845e-01,6.570467375659917453e-01,6.684355919248914368e-01
4.219999999999999862e-01,6.557339575751517380e-01,6.666649014138819052e-01
4.239999999999999880e-01,6.544238005248497192e-01,6.645800853311951695e-01
4.259999999999999898e-01,6.531162611738411394e-01,6.636728929017892131e-01
4.279999999999999916e-01,6.518113342912893460e-01,6.618036630749845051e-01
4.299999999999999933e-01,6.505090146567414910e-01,6.608149939445661092e-01
4.319999999999999951e-01,6.492092970601052171e-01,6.602613211057588583e-01
4.339999999999999969e-01,6.479121763016245650e-01,6.588362722003786587e-01
4.359999999999999987e-01,6.466176471918571034e-01,6.582299665869201233e-01
4.380000000000000004e-01,6.453257045516496149e-01,6.569378942049577397e-01
4.400000000000000022e-01,6.440363432121148923e-01,6.558205907493253051e-01
4.420000000000000040e-01,6.427495580146078691e-01,6.541006119178911504e-01
4.440000000000000058e-01,6.414653438107023042e-01,6.535203022843961707e-01
4.460000000000000075e-01,6.401836954621669129e-01,6.518074997570887374e-01
4.480000000000000093e-01,6.389046078409418294e-01,6.502631327608930922e-01
4.500000000000000111e-01,6.376280758291149597e-01,6.483948087983394393e-01
4.520000000000000129e-01,6.363540943188984444e-01,6.473152875391176009e-01
4.540000000000000147e-01,6.350826582126050113e-01,6.466029939099496859e-01
4.560000000000000164e-01,6.338137624226242162e-01,6.441924702118171364e-01
4.580000000000000182e-01,6.325474018779497776e-01,6.420913714213930534e-01
4.600000000000000200e-01,6.312835715422069338e-01,6.406785187449520746e-01
4.620000000000000218e-01,6.300222663643365584e-01,6.384152081598086781e-01
4.640000000000000235e-01,6.287634812997184852e-01,6.372447991246420473e-01
4.660000000000000253e-01,6.275072113137835084e-01,6.348571732612855456e-01
4.680000000000000271e-01,6.262534513819909554e-01,6.336193246654350242e-01
4.700000000000000289e-01,6.250021964898059279e-01,6.317854727998932773e-01
4.720000000000000306e-01,6.237534416326772080e-01,6.305670317119160817e-01
4.740000000000000324e-01,6.225071818160149428e-01,6.292811776140312396e-01
4.760000000000000342e-01,6.212634120551679962e-01,6.283279561848712502e-01
4.780000000000000360e-01,6.200221273754016327e-01,6.275617396100162670e-01
4.799999999999999822e-01,6.187833228118753137e-01,6.270945610622797872e-01
4.819999999999999840e-01,6.175469934096200486e-01,6.250403127167664108e-01
4.839999999999999858e-01,6.163131342235160792e-01,6.246253958411326357e-01
4.859999999999999876e-01,6.150817403182706755e-01,6.238905337433753306e-01
4.879999999999999893e-01,6.138528067683954870e-01,6.234315122762695838e-01
4.899999999999999911e-01,6.126263286581840051e-01,6.235761511819187808e-01
4.919999999999999929e-01,6.114023010816899140e-01,6.223510545351692569e-01
4.939999999999999947e-01,6.101807191427038868e-01,6.205967160648243608e-01
4.959999999999999964e-01,6.089615779547313812e-01,6.193717618743990183e-01
4.979999999999999982e-01,6.077448726409706570e-01,6.186095647346189219e-01
5.000000000000000000e-01,6.065305983342897944e-01,6.170572853413237580e-01
5.020000000000000018e-01,6.053187501772049339e-01,6.161008969321192241e-01
5.040000000000000036e-01,6.041093233218571834e-01,6.143663218915668134e-01
5.060000000000000053e-01,6.029023129299908579e-01,6.116839213851874568e-01
5.080000000000000071e-01,6.016977141729306089e-01,6.092207710796722075e-01
5.100000000000000089e-01,6.004955222315593311e-01,6.084277982527342976e-01
5.120000000000000107e-01,5.992957322962958466e-01,6.070498861104927091e-01
5.140000000000000124e-01,5.980983395670719238e-01,6.064328445383341260e-01
5.160000000000000142e-01,5.969033392533106275e-01,6.056289212910568320e-01
5.180000000000000160e-01,5.957107265739035595e-01,6.050942165288207830e-01
5.200000000000000178e-01,5.945204967571883214e-01,6.032161121726742348e-01
5.220000000000000195e-01,5.933326450409265318e-01,6.022626073136770897e-01
