time,density_n_site_1,positive_p_n_site_1,density_n_site_2,positive_p_n_site_2
1.419999999999999929e+00,5.454669249764895929e-03,nan,2.362593465774432411e-01,nan
1.421999999999999931e+00,5.301381195298620133e-03,nan,2.359296897037136964e-01,nan
1.423999999999999932e+00,5.150525252188234253e-03,nan,2.355985656435732600e-01,nan
1.425999999999999934e+00,5.002090876646221596e-03,nan,2.352659830129434082e-01,nan
1.427999999999999936e+00,4.856067526528119217e-03,nan,2.349319504299584582e-01,nan
1.429999999999999938e+00,4.712444661529932924e-03,nan,2.345964765147604825e-01,nan
1.431999999999999940e+00,4.571211743384948588e-03,nan,2.342595698892949718e-01,nan
1.433999999999999941e+00,4.432358218341537516e-03,nan,2.339212391944254510e-01,nan
1.435999999999999943e+00,4.295873532451079287e-03,nan,2.335814930749786911e-01,nan
1.437999999999999945e+00,4.161747150923779913e-03,nan,2.332403401608144633e-01,nan
1.439999999999999947e+00,4.029968541595872408e-03,nan,2.328977890829728448e-01,nan
1.441999999999999948e+00,3.900527175118091022e-03,nan,2.325538484734784028e-01,nan
1.443999999999999950e+00,3.773412525143615519e-03,nan,2.322085269651445183e-01,nan
1.445999999999999952e+00,3.648614068515370137e-03,nan,2.318618331913787078e-01,nan
1.447999999999999954e+00,3.526121285452665961e-03,nan,2.315137757859884182e-01,nan
1.449999999999999956e+00,3.405923659737197101e-03,nan,2.311643633829876254e-01,nan
1.451999999999999957e+00,3.288010678898381153e-03,nan,2.308136046164039057e-01,nan
1.453999999999999959e+00,3.172371834398053040e-03,nan,2.304615081200863946e-01,nan
1.455999999999999961e+00,3.058996621814506593e-03,nan,2.301080825275141628e-01,nan
1.457999999999999963e+00,2.947874541025888220e-03,nan,2.297533364716057847e-01,nan
1.459999999999999964e+00,2.838995096392930070e-03,nan,2.293972785845285745e-01,nan
1.461999999999999966e+00,2.732347796941050466e-03,nan,2.290399174975099039e-01,nan
1.463999999999999968e+00,2.627922156541782125e-03,nan,2.286812618406476039e-01,nan
1.465999999999999970e+00,2.525707694093565908e-03,nan,2.283213202427224475e-01,nan
1.467999999999999972e+00,2.425693933701887108e-03,nan,2.279601013310103841e-01,nan
1.469999999999999973e+00,2.327870404858763814e-03,nan,2.275976137310957992e-01,nan
1.471999999999999975e+00,2.232226642621577828e-03,nan,2.272338660666853583e-01,nan
1.473999999999999977e+00,2.138752187791265885e-03,nan,2.268688669594226825e-01,nan
1.475999999999999979e+00,2.047436587089849092e-03,nan,2.265026250287033860e-01,nan
1.477999999999999980e+00,1.958269393337319642e-03,nan,2.261351488914910279e-01,nan
1.479999999999999982e+00,1.871240165627872454e-03,nan,2.257664471621335933e-01,nan
1.481999999999999984e+00,1.786338469505488902e-03,nan,2.253965284521809997e-01,nan
1.483999999999999986e+00,1.703553877138864374e-03,nan,2.250254013702024103e-01,nan
1.485999999999999988e+00,1.622875967495694639e-03,nan,2.246530745216053226e-01,nan
1.487999999999999989e+00,1.544294326516301068e-03,nan,2.242795565084545195e-01,nan
1.489999999999999991e+00,1.467798547286611839e-03,nan,2.239048559292920182e-01,nan
1.491999999999999993e+00,1.393378230210491099e-03,nan,2.235289813789576030e-01,nan
1.493999999999999995e+00,1.321022983181415226e-03,nan,2.231519414484100239e-01,nan
1.495999999999999996e+00,1.250722421753500731e-03,nan,2.227737447245489166e-01,nan
1.497999999999999998e+00,1.182466169311881211e-03,nan,2.223943997900375280e-01,nan
1.500000000000000000e+00,1.116243857242430523e-03,nan,2.220139152231254687e-01,nan
1.502000000000000002e+00,1.052045125100840427e-03,nan,2.216322995974731036e-01,nan
1.504000000000000004e+00,9.898596207810427244e-04,nan,2.212495614819758594e-01,nan
1.506000000000000005e+00,9.296770006829835733e-04,nan,2.208657094405894750e-01,nan
1.508000000000000007e+00,8.714869298797461037e-04,nan,2.204807520321561409e-01,nan
1.510000000000000009e+00,8.152790822840210935e-04,nan,2.200946978102304441e-01,nan
1.512000000000000011e+00,7.610431408139301619e-04,nan,2.197075553229074774e-01,nan
1.514000000000000012e+00,7.087687940376710379e-04,nan,2.193193331161226167e-01,nan
1.516000000000000014e+00,6.584457009302743411e-04,nan,2.189300397684086630e-01,nan
1.518000000000000016e+00,6.100635553002091253e-04,nan,2.185396838273328535e-01,nan
1.520000000000000018e+00,5.636120715237318262e-04,nan,2.181482738235605845e-01,nan
1.522000000000000020e+00,5.190809734902079300e-04,nan,2.177558182817507793e-01,nan
1.524000000000000021e+00,4.764599947555293456e-04,nan,2.173623257203956827e-01,nan
1.526000000000000023e+00,4.357388786947786357e-04,nan,2.169678046516612113e-01,nan
1.528000000000000025e+00,3.969073786541421666e-04,nan,2.165722635812281360e-01,nan
1.530000000000000027e+00,3.599552581020714725e-04,nan,2.161757110081340139e-01,nan
1.532000000000000028e+00,3.248722907796916417e-04,nan,2.157781554246158418e-01,nan
1.534000000000000030e+00,2.916482608504606809e-04,nan,2.153796053159535151e-01,nan
1.536000000000000032e+00,2.602729630490738418e-04,nan,2.149800691603141467e-01,nan
1.538000000000000034e+00,2.307362028296188990e-04,nan,2.145795554285969686e-01,nan
1.540000000000000036e+00,2.030277965129771223e-04,nan,2.141780725842791777e-01,nan
1.542000000000000037e+00,1.771375714334753350e-04,nan,2.137756290832623918e-01,nan
1.544000000000000039e+00,1.530553660847839648e-04,nan,2.133722333737200494e-01,nan
1.546000000000000041e+00,1.307710302650640403e-04,nan,2.129678938959453927e-01,nan
1.548000000000000043e+00,1.102744252213630797e-04,nan,2.125626190822003103e-01,nan
1.550000000000000044e+00,9.155542379325778382e-05,nan,2.121564173565650135e-01,nan
1.552000000000000046e+00,7.460391055574656992e-05,nan,2.117492971347883224e-01,nan
1.554000000000000048e+00,5.940978196138910666e-05,nan,2.113412668241389514e-01,nan
1.556000000000000050e+00,4.596294648169479524e-05,nan,2.109323348232571560e-01,nan
1.558000000000000052e+00,3.425332474775929516e-05,nan,2.105225095220077947e-01,nan
1.560000000000000053e+00,2.427084969014886798e-05,nan,2.101117993013333074e-01,nan
1.562000000000000055e+00,1.600546667803386347e-05,nan,2.097002125331083044e-01,nan
1.564000000000000057e+00,9.447133657569505304e-06,nan,2.092877575799944323e-01,nan
1.566000000000000059e+00,4.585821289525441466e-06,nan,2.088744427952960447e-01,nan
1.568000000000000060e+00,1.411513086163566710e-06,nan,2.084602765228167343e-01,nan
1.570000000000000062e+00,-8.579445263632325019e-08,nan,2.080452670967168349e-01,nan
1.572000000000000064e+00,8.390829599777379995e-08,nan,2.076294228413710641e-01,nan
1.574000000000000066e+00,1.910644212552390678e-06,nan,2.072127520712276905e-01,nan
1.576000000000000068e+00,5.384449568999246341e-06,nan,2.067952630906680078e-01,nan
1.578000000000000069e+00,1.049537416191398169e-05,nan,2.063769641938666410e-01,nan
1.580000000000000071e+00,1.723348144484341979e-05,nan,2.059578636646527128e-01,nan
1.582000000000000073e+00,2.558884865992072240e-05,nan,2.055379697763717317e-01,nan
1.584000000000000075e+00,3.555156696872906484e-05,nan,2.051172907917482302e-01,nan
1.586000000000000076e+00,4.711174158241344798e-05,nan,2.046958349627492624e-01,nan
1.588000000000000078e+00,6.025949189104055421e-05,nan,2.042736105304484573e-01,nan
1.590000000000000080e+00,7.498495159220723940e-05,nan,2.038506257248910714e-01,nan
1.592000000000000082e+00,9.127826881889694100e-05,nan,2.034268887649597068e-01,nan
1.594000000000000083e+00,1.091296062665843850e-04,nan,2.030024078582408631e-01,nan
1.596000000000000085e+00,1.285291414079939320e-04,nan,2.025771912006275877e-01,nan
1.598000000000000087e+00,1.494670667044481417e-04,nan,2.021512469759311481e-01,nan
1.600000000000000089e+00,1.719335893448585681e-04,nan,2.017245833569040747e-01,nan
1.602000000000000091e+00,1.959189315695808919e-04,nan,2.012972085045120485e-01,nan
1.604000000000000092e+00,2.214133308076460900e-04,nan,2.008691305677628436e-01,nan
1.606000000000000094e+00,2.484070397994077696e-04,nan,2.004403576835771528e-01,nan
1.608000000000000096e+00,2.768903267184383418e-04,nan,2.000108979766604400e-01,nan
1.610000000000000098e+00,3.068534752926722962e-04,nan,1.995807595593752648e-01,nan
1.612000000000000099e+00,3.382867849248008085e-04,nan,1.991499505316145779e-01,nan
